response,tag
We can deliver food upto 10 km from our location for free,delivery
10 km is the distance we can deliver food for free,delivery
"available options are Mexican Pizza, Cheese Margerita, Chicken nuggets only ",menu
"Mexican Pizza, Cheese Margerita, Chicken nuggets only ",menu
"We have Mexican Pizza, Cheese Margerita, Chicken nuggets",menu
"our address is 121/2312, hazratganj, lucknow",address
we are open from 10am  to  8pm,timing
10am  to  8pm ,timing
"buy 2 mexican pizza get 1 cold drink free, buy 5 large pizza combo at Rs. 2000 only",combo
"buy 5 large pizza combo at Rs. 2000 only,buy 2 mexican pizza get 1 cold drink free,",combo
"offer 1 - 5 large pizza combo at Rs. 2000 only, offer 2 - 2 mexican pizza get 1 cold drink free,",combo
"-> 10% discount on 2 pizzas, -> 30% discount on chiken nuggets",offers
"-> get 10% discount on 2 pizzas this week , -> get 30% discount on chiken nuggets ",offers
