query,tag
what is the basic distance for free delivery?,delivery
how far can you deliver for free?,delivery
is free delivery available?,delivery
what is in the menu?,menu
what are the options in the menu,menu
show me the menu,menu
is there any offer,offers
what are the offers on the pizza,offers
are discount offers available?,offers
when do you close?,timing
when do you open?,timing
what is closing time?,timing
how do we reach?,address
are you available in lucknow?,address
where are you located?,address
are you open at 9am,timing
is there any pizza combos,combo
what is combo offer of the week,combo
available combo offers,combo
are there burgers available?,menu
do you deliver free of cost?,delivery
